Sta #,VA Facility Location,ZIP 3,PBN
528G5,"AUBURN, NY",130,3
528G6,"FONDA, NY",120,3
528G7,"CATSKILL, NY",124,3
528G8,"WELLSVILLE, NY",148,3
528G9,"CORTLAND, NY",130,3
528GB,"JAMESTOWN, NY",147,3
528GC,"DUNKIRK, NY",140,3
528GD,"NIAGARA FALLS, NY",143,3
528GE,"ROCHESTER, NY",146,2
528GK,"LOCKPORT, NY",140,2
528GL,"MASSENA, NY",136,3
528GM,"ROME, NY",134,3
528GN,"BINGHAMTON, NY",139,3
528GO,"CARTHAGE, NY",136,3
528GP,"OSWEGO, NY",131,3
528GQ,"LACKAWANNA, NY",142,3
528GR,"OLEAN, NY",147,3
528GT,"GLENS FALLS, NY",128,3
528GV,"PLATTSBURGH, NY",129,3
528GW,"SCHENECTADY, NY",123,3
528GX,"TROY, NY",121,3
528GY,"CLIFTON PARK, NY",120,2
528GZ,"KINGSTON, NY",124,3
528J1,"WARSAW CBOC, NY",145,2
529,"BUTLER, PA",160,1
529GA,"MERCER, PA",161,2
529GB,"NEW CASTLE, PA",161,2
529GC,"KITTANNING, PA",162,3
529GD,"KNOX, PA",162,3
529GE,"VENANGO CTY, PA",163,3
531,"BOISE, ID",837,1
531GD,"ONTARIO, OR",979,3
531GE,"TWIN FALLS, ID",833,3
534,"CHARLESTON, SC",294,1
534BY,"SAVANNAH, GA",314,3
534GB,"MYRTLE BEACH, SC",295,3
534GC,"BEAUFORT, SC",299,3
534GD,"GOOSE CREEK, SC",294,2
537,"CHICAGO WEST SIDE, IL",606,1
537BY,"CROWN POINT, IN",463,3
537GA,"CHICAGO HEIGHTS, IL",604,2
537GD,"LAKESIDE CBOC, IL",606,2
537HA,"CHICAGO/WOODLAWN, IL",606,2
538,"CHILLICOTHE, OH",456,1
538GA,"ATHENS, OH",457,3
538GB,"PORTSMOUTH, OH",456,3
538GC,"MARIETTA, OH",457,3
538GD,"LANCASTER, OH",431,2
539,"CINCINNATI, OH",452,1
539DT,"GEORGETOWN, OH",451,1
539GA,"BELLEVUE, KY",410,2
539GB,"CINCINNATI CBOC, OH",452,2
539GC,"LAWRENCEBURG, IN",470,2
540,"CLARKSBURG, WV",263,1
540GA,"PARSONS, WV",262,3
540GB,"PARKERSBURG, WV",261,3
540GC,"GASSAWAY, WV",266,3
541,"CLEVELAND WADE PARK, OH",441,1
541A0,"CLEVELAND BRECKSVILLE, OH",441,1
541BY,"CANTON, OH",447,3
541BZ,"YOUNGSTOWN, OH",445,3
541GB,"LORAIN, OH",440,2
541GC,"SANDUSKY, OH",448,3
541GD,"MANSFIELD, OH",449,3,,,,,,,,
541GE,"CLEVELAND CBOC, OH",441,2,,,,,,,,
541GF,"PAINESVILLE, OH",440,2,,,,,,,,
541GG,"AKRON, OH",443,3,,,,,,,,
541GH,"EAST LIVERPOOL, OH",439,3,,,,,,,,
541GI,"WARREN, OH",444,3,,,,,,,,
541GJ,"NEW PHILADELPHIA, OH",446,3,,,,,,,,
541GK,"RAVENNA, OH",442,2,,,,,,,,
542,"COATESVILLE, PA",193,1,,,,,,,,
542GA,"SPRINGFIELD, PA",190,2,,,,,,,,
542GB,"PHILADELPHIA CBOC, PA",191,3,,,,,,,,
542GE,"SPRING CITY, PA",194,2,,,,,,,,
542GG,"COATESVILLE MSCEC, PA",193,2,,,,,,,,
542GH,"COATESVILLE CBOC, PA",193,2,,,,,,,,
544,"COLUMBIA, SC",292,1,,,,,,,,
544BZ,"GREENVILLE, SC",296,3,,,,,,,,
544GB,"FLORENCE, SC",295,3
544GC,"ROCK HILL, SC",297,3
544GD,"ANDERSON, SC",296,3
544GE,"ORANGEBURG, SC",291,3
544GF,"SUMTER, SC",291,3
546,"MIAMI, FL",331,1
546BZ,"OAKLAND PARK, FL",333,2
546GA,"MIAMI CBOC, FL",331,2
546GB,"KEY WEST, FL",330,3
546GC,"HOMESTEAD, FL",330,3
546GD,"PEMBROKE PINES, FL",330,2
546GE,"KEY LARGO, FL",330,3
546GF,"HALLANDALE, FL",330,2
546GG,"CORAL SPRINGS, FL",330,3
546GH,"DEERFIELD BEACH, FL",334,3
548,"WEST PALM BEACH, FL",334,1
548GA,"FORT PIERCE, FL",349,3
548GB,"DELRAY BEACH, FL",334,3
548GC,"STUART, FL",349,3
548GD,"BOCA RATON, FL",334,3
548GE,"VERO BEACH, FL",329,3
548GF,"OKEECHOBEE, FL",349,3
549,"DALLAS, TX",752,1
549A4,"BONHAM, TX",754,1
549BY,"FORT WORTH SOC, TX",761,2
549GA,"TYLER, TX",757,3
549GC,"BONHAM CBOC, TX",754,3
549GD,"DENTON, TX",762,3
549GE,"DECATUR, TX",762,3
549GF,"EASTLAND, TX",764,3
549GH,"GREENVILLE, TX",754,3
549GI,"CLEBURNE, TX",760,3
549HA,"DIAMOND HILL, TX",761,2
550,"DANVILLE, IL",618,1
550BY,"PEORIA, IL",616,3
550GA,"DECATUR, IL",625,3
550GC,"LAFAYETTE, IN",479,3
550GD,"SPRINGFIELD, IL",627,3
550GE,"EFFINGHAM, IL",624,3
552,"DAYTON, OH",454,1
552GA,"MIDDLETOWN, OH",450,2
552GB,"LIMA, OH",458,3
552GC,"RICHMOND, IN",473,3
552GD,"SPRINGFIELD, OH",455,2
553,"DETROIT, MI",482,1
553GA,"YALE, MI",480,3
553GB,"PONTIAC, MI",483,3
554,"DENVER, CO",802,1
554GB,"AURORA, CO",800,2
554GC,"LAKEWOOD, CO",802,2
554GD,"PUEBLO, CO",810,3
554GE,"COLORADO SPRINGS, CO",809,3
554GF,"ALAMOSA, CO",811,3
554GG,"LA JUNTA, CO",810,3
554GH,"LAMAR, CO",810,3
554HB,"FORT MORGAN, CO",807,3
556,"NORTH CHICAGO, IL",600,1
556GA,"EVANSTON, IL",602,2
556GC,"MCHENRY, IL",600,2
556GD,"KENOSHA, WI",531,2
557,"DUBLIN, GA",310,1
557GA,"MACON, GA",312,3
557GB,"ALBANY, GA",317,3
558,"DURHAM, NC",277,1
558GA,"GREENVILLE, NC",278,3
558GB,"RALEIGH, NC",276,3
558GC,"MOOREHEAD CITY, NC",285,3
561,"EAST ORANGE, NJ",070,1
561A4,"LYONS, NJ",079,1
561BY,"NEWARK SAC, NJ",071,2
561BZ,"BRICK, NJ",087,3
561GA,"TRENTON, NJ",086,2
561GB,"ELIZABETH, NJ",072,2
561GD,"HACKENSACK, NJ",076,2
561GE,"JERSEY CITY, NJ",073,2
561GF,"NEW BRUNSWICK, NJ",089,2
561GG,"NEWARK CBOC, NJ",071,2
561GH,"MORRISTOWN, NJ",079,2
561GI,"FORT MONMOUTH, NJ",077,2
561GJ,"PATERSON CBOC, NJ",075,2
561HB,"JAMESBURG, NJ",088,2
562,"ERIE, PA",165,1
562GA,"MEADVILLE, PA",163,2
562GB,"ASHTABULA, OH",440,3
562GC,"SMETHPORT, PA",167,3
562GD,"VENANGO CTY, PA",163,3
562GE,"WARREN CTY, PA",163,3
564,"FAYETTEVILLE, AR",727,1
564BY,"MOUNT VERNON, MO",657,3
564GA,"HARRISON, AR",726,3
564GB,"FORT SMITH, AR",729,3
565,"FAYETTEVILLE, NC",283,1
565GA,"JACKSONVILLE UCJ, NC",285,3
565GC,"WILMINGTON, NC",284,3
568,"FORT MEADE, SD",577,1
568A4,"HOT SPRINGS, SD",577,1
568GA,"RAPID CITY, SD",577,2
568GB,"PIERRE, SD",575,3
568HA,"NEWCASTLE, WY",827,3
568HB,"RUSHVILLE, NE",693,3
568HC,"ALLIANCE, NE",693,3
568HF,"PINE RIDGE, SD",577,3
568HH,"SCOTTSBLUFF, NE",693,3
568HJ,"MISSION, SD",575,3
568HK,"MCLAUGHLIN, SD",576,3
568HM,"EAGLE BUTTE, SD",576,3
568HN,"LAME DEER, MT",590,3
568HP,"WINNER, SD",575,3
570,"FRESNO, CA",937,1
570GA,"ATWATER, CA",953,3
570GB,"TULARE, CA",932,3
573,"GAINESVILLE, FL",326,1
573A4,"LAKE CITY, FL",320,1
573BY,"JACKSONVILLE, FL",322,3
573BZ,"DAYTONA BEACH, FL",321,3
573GA,"VALDOSTA, GA",316,3
573GD,"OCALA, FL",344,2
573GE,"SAINT AUGUSTINE, FL",320,3
573GF,"TALLAHASSEE, FL",323,3
573GG,"LECANTO, FL",344,3
573GH,"LEESBURG, FL",347,3
573GI,"THE VILLAGES, FL",321,3
575,"GRAND JUNCTION, CO",815,1
575GA,"MONTROSE, CO",814,3
578,"HINES, IL",601,1
578GA,"JOLIET, IL",604,2
578GB,"OAK PARK, IL",603,2
578GC,"MANTENO, IL",609,3
578GD,"AURORA, IL",605,2
578GE,"ELGIN, IL",601,2
578GF,"LA SALLE, IL",613,3
578GG,"OAK LAWN, IL",604,3
580,"HOUSTON, TX",770,1
580BY,"BEAUMONT, TX",777,3
580BZ,"LUFKIN, TX",759,3
580GC,"GALVESTON (ISLAND), TX",775,3
581,"HUNTINGTON, WV",257,1
581GA,"PRESTONSBURG, KY",416,3
581GB,"CHARLESTON, WV",253,3
581GD,"WILLIAMSON, WV",256,3
583,"INDIANAPOLIS, IN",462,1
583GA,"TERRE HAUTE, IN",478,3
583GB,"BLOOMINGTON, IN",474,3
585,"IRON MOUNTAIN, MI",498,1
585GA,"HANCOCK/PORTAGE, MI",499,3
585GB,"RHINELANDER, WI",545,3
585GC,"MENOMINEE, MI",498,3
585GD,"IRONWOOD, MI",499,3
585HA,"MARQUETTE, MI",498,3
585HB,"SAULT SAINTE MARIE, MI",497,3
586,"JACKSON, MS",392,1
586GA,"KOSCIUSKO, MS",390,3
586GB,"MERIDIAN, MS",393,3
586GC,"GREENVILLE, MS",387,3
586GD,"HATTIESBURG, MS",394,3
586GE,"NATCHEZ, MS",391,3
586GF,"COLUMBUS, MS",397,3
589,"KANSAS CITY, MO",641,1
589A4,"COLUMBIA, MO",652,1
589A5,"EASTERN KANSAS HCS - TOPEKA, KS",666,1
589A6,"EASTERN KANSAS HCS - LEAVENWORTH, KS",660,1
589A7,"WICHITA, KS",672,1
589DQ,"WICHITA NON-VA HOSP, KS",627,1
589DS,"KANSAS CITY NON-VA HOSPITALS, KS",641,1
589G1,"WARRENSBURG, MO",640,3
589G2,"DODGE CITY, KS",678,3
589G3,"LIBERAL, KS",679,3
589G4,"HAYS, KS",676,3
589G5,"PARSONS, KS",673,3
589G6,"SALINA, KS",674,3
589GB,"BELTON, MO",640,2
589GC,"PAOLA, KS",660,3
589GD,"NEVADA, MO",647,3
589GE,"KIRKSVILLE, MO",635,3
589GF,"FORT LEONARD WOOD, MO",654,3
589GH,"CAMDENTON, MO",650,3
589GI,"SAINT JOSEPH, MO",645,2
589GJ,"KANSAS CITY/WYANDOTTE, KS",661,2
589GK,"ABILENE, KS",674,3
589GM,"CHANUTE, KS",667,3
589GN,"EMPORIA, KS",668,3
589GP,"GARNETT, KS",660,3
589GQ,"HOLTON, KS",664,3
589GR,"JUNCTION CITY, KS",664,3
589GS,"RUSSELL, KS",676,3
589GT,"SENECA, KS",665,3
589GU,"LAWRENCE, KS",660,3
589GV,"FORT SCOTT, KS",667,3
589GW,"SALINA, KS",674,3
589GX,"MEXICO, MO",652,2
589GY,"SAINT JAMES, MO",655,3
589GZ,"CAMERON, MO",644,3
590,"HAMPTON, VA",236,1
590GA,"NORFOLK, VA",235,2
593,"LAS VEGAS, NV",891,1
593GA,"LAS VEGAS CBOC, NV",891,2
593GB,"HENDERSON, NV",890,2
593GC,"PAHRUMP, NV",890,3
595,"LEBANON, PA",170,1
595GA,"CAMP HILL, PA",170,2
595GB,"POTTSVILLE/SCHUYLKILL/SHENANDOAH, PA",179,2
