Sta #,VA Facility Location,ZIP 3,PBN
657GK,"MOUNT VERNON, IL",628,3
657GL,"PADUCAH, KY",420,3
657GM,"EFFINGHAM, IL",624,3
657GN,"SALEM, MO",655,3
657GO,"HANSON CBOC, KY",424,3
658,"SALEM, VA",241,1
658GA,"TAZEWELL, VA",246,3
658GB,"DANVILLE, VA",245,3
658HA,"STUARTS DRAFT, VA",244,3
658HC,"LYNCHBURG, VA",245,3
658HG,"COVINGTON, VA",244,3
659,"SALISBURY, NC",281,1
659BY,"WINSTON-SALEM, NC",271,2
659GA,"CHARLOTTE, NC",282,3
660,"SALT LAKE CITY, UT",841,1
660GA,"POCATELLO, ID",832,3
660GB,"OGDEN, UT",844,2
660GC,"ELY, NV",893,3
660GD,"ROOSEVELT, UT",840,3
660GE,"OREM, UT",840,2
660GF,"GREEN RIVER, WY",829,3
660GG,"SAINT GEORGE, UT",847,3
660GI,"NEPHI, UT",846,3
662,"SAN FRANCISCO, CA",941,1
662BU,"SAN FRANCISCO HOMELESS CTR, CA",941,2
662GA,"SANTA ROSA, CA",954,3
662GC,"EUREKA, CA",955,3
662GD,"UKIAH, CA",954,3
662GE,"SAN BRUNO CBOC, CA",940,2
663,"SEATTLE, WA",981,1
663A4,"AMERICAN LAKE/TACOMA, WA",984,1
663GA,"LYNNWOOD/NORTHGATE, WA",980,2
663GB,"BREMERTON, WA",983,2
664,"SAN DIEGO, CA",921,1
664BY,"SAN DIEGO CBOC, CA",921,2
664GA,"EL CENTRO, CA",922,3
664GB,"VISTA, CA",920,2
664GC,"CHULA VISTA, CA",919,2
664GD,"ESCONDIDO, CA",920,2
666,"SHERIDAN, WY",828,1
666GB,"CASPER, WY",826,3
666GC,"RIVERTON, WY",825,3
666GD,"POWELL, WY",824,3
666GE,"GILLETTE, WY",827,3
666GF,"ROCK SPRINGS CBOC, WY",829,3
667,"SHREVEPORT, LA",711,1
667GA,"TEXARKANA, AR",718,3
667GB,"MONROE, LA",712,3
667GC,"LONGVIEW, TX",756,3
668,"SPOKANE, WA",992,1
668HK,"SPOKANE MOC, WA",992,2
671,"SAN ANTONIO, TX",782,1
671A4,"KERRVILLE, TX",780,1
671B0,"MCALLEN, TX",785,3
671BY,"SAN ANTONIO CBOC, TX",782,2
671BZ,"CORPUS CHRISTI, TX",784,3
671GA,"HARLINGEN, TX",785,3
671GB,"VICTORIA, TX",779,3
671GC,"DEL RIO, TX",788,3
671GD,"EAGLE PASS, TX",788,3
671GE,"LAREDO, TX",780,3
671GF,"SOUTH BEXAR COUNTY, TX",782,2
671GG,"ALICE, TX",783,3
671GH,"BEEVILLE, TX",781,3
671GI,"KINGSVILLE, TX",783,3
671GJ,"UVALDE, TX",788,3
671GK,"SAN ANTONIO CBOC, TX",782,3
671GL,"NEW BRAUNFELS, TX",781,3
671GN,"SEGUIN CBOC, TX",781,2
672,"SAN JUAN, PR",009,1
672B0,"PONCE, PR",007,3
672BZ,"MAYAGUEZ, PR",006,3
672GA,"SAINT CROIX, VI",008,3
672GB,"SAINT THOMAS, VI",008,3
672GC,"ARECIBO, PR",006,3
672GD,"KINGSHILL, VI",008,3
672GE,"GUAYAMA, PR",007,2
673,"TAMPA, FL",336,1
673BY,"ORLANDO, FL",328,3
673BZ,"PORT RICHEY, FL",346,3
673GA,"VIERA/MELBOURNE, FL",329,3
673GB,"LAKELAND, FL",338,2
673GC,"BROOKSVILLE, FL",346,3
673GD,"SANFORD, FL",327,3
673GE,"KISSIMMEE, FL",347,3
673GF,"ZEPHYRHILLS, FL",335,3
674,"TEMPLE, TX",765,1
674A4,"WACO, TX",767,1
674A5,"MARLIN, TX",766,1
674BY,"AUSTIN, TX",787,3
674GA,"PALESTINE, TX",758,3
674GB,"BROWNWOOD, TX",768,3
674GC,"BRYAN/COLLEGE STATION, TX",778,3
674GD,"CEDAR PARK, TX",786,3
674GE,"MARLIN CBOC, TX",766,2
676,"TOMAH, WI",546,1
676GA,"WAUSAU, WI",544,3
676GC,"LA CROSSE, WI",546,3
676GD,"WISCONSIN RAPIDS, WI",544,3
676GE,"LOYAL, WI",544,3
676HB,"WAUTOMA, WI",549,3
678,"TUCSON, AZ",857,1
678GA,"SIERRA VISTA, AZ",856,3
678GB,"YUMA, AZ",853,3
678GC,"CASA GRANDE, AZ",852,3
678GD,"SAFFORD, AZ",855,3
678GE,"GREEN VALLEY, AZ",856,2
679,"TUSCALOOSA, AL",354,1
679PA,"TUSCALOOSA PRRTP, AL",354,2
687,"WALLA WALLA, WA",993,1
687GA,"RICHLAND, WA",993,3
687GB,"LEWISTON, ID",835,3
687HA,"YAKIMA, WA",989,3
688,"WASHINGTON, DC",204,1
688GA,"ALEXANDRIA, VA",223,2
688GB,"WASHINGTON SE, DC",200,2
688GC,"LANDOVER, MD",207,2
688GD,"CHARLOTTE HALL, MD",206,2
688PA,WASHINGTON CWT/TR DC,204,1
689,"WEST HAVEN, CT",065,1
689A4,"NEWINGTON, CT",061,2
689GA,"WATERBURY, CT",067,2
689GB,"STAMFORD, CT",069,2
689GC,"WINDHAM, CT",062,3
689GD,"WINSTED, CT",060,3
689GE,"DANBURY, CT",068,2
689HA,"WILLIMANTIC, CT",062,3
689HC,"NEW LONDON, CT",063,3
691,"WEST LOS ANGELES, CA",900,1
691A4,"SEPULVEDA, CA",913,2
691GA,"WEST LOS ANGELES CBOC, CA",900,2
691GB,"SANTA BARBARA, CA",931,3
691GC,"GARDENA, CA",902,2
691GD,"BAKERSFIELD, CA",933,3
691GE,"LOS ANGELES CBOC, CA",900,2
691GF,"EAST LOS ANGELES, CA",900,2
691GG,"LANCASTER/ANTELOPE VALLEY, CA",935,3
691GK,"SAN LUIS OBISPO, CA",934,3
691GL,"LOMPOC, CA",934,3
691GM,"PORT HUENEME/OXNARD, CA",930,3
691GN,"LYNWOOD, CA",902,3
691GO,"PASADENA, CA",911,3
692,"WHITE CITY, OR",975,1
692GA,"KLAMATH FALLS, OR",976,3
693,"WILKES-BARRE, PA",187,1
693B4,"ALLENTOWN, PA",181,3
693GA,"SAYRE, PA",188,3
693GB,"WILLIAMSPORT, PA",177,3
693GC,"TOBYHANNA, PA",184,2
693GD,"SCRANTON, PA",185,2
693GE,"POTTSVILLE/SCHUYLKILL/SHENANDOAH, PA",179,2
693GF,"BERWICK, PA",186,2
693GG,"NORTHAMPTON CTY, PA",180,3
693HK,"WILKES-BARRE MOC, PA",187,2
695,"MILWAUKEE, WI",532,1
695BY,"APPLETON, WI",549,3
695GA,"UNION GROVE, WI",531,2
695GC,"CLEVELAND, WI",530,3
695GD,"GREEN BAY, WI",543,3
695HK,"MILWAUKEE MOC, WI",532,3
756,"EL PASO, TX",799,2
756GA,"LAS CRUCES, NM",880,3
757,"COLUMBUS, OH",432,2
757GA,"ZANESVILLE, OH",437,3
757GB,"GROVE CITY, OH",431,2
757GC,"MARION, OH",433,3
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,

,,,
,,,
,,,
,,,
,,,
,,,























,,
,,
,,
,,
,,
,,
,,

,,
,,
,,
,,
,,
